nctId,title,sponsor,primaryCompletionDate,completionDate,overallStatus,hasResults,classifiedStatus,reason
NCT00947336,"Evaluation of Safety & Efficacy of Synbiotic on the Incidence and Recurrence of Spontaneous Bacterial Peritonitis (SBP) in Cirrhotics","Govind Ballabh Pant Hospital",2008-04,2008-04,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 6192d and no coverage in 6192d — the press dropped a still-unresolved story."
NCT03413436,"Lobaplation or Cisplatin in Adjuvant Chemotherapy for Esophageal Carcinoma","Henan Cancer Hospital",2018-02-21,2018-02-21,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 2143d and no coverage in 2143d — the press dropped a still-unresolved story."
NCT03652051,"A Multicenter Study Evaluating AZR-MD-001 in Patients With Meibomian Gland Dysfunction and Evaporative Dry Eye Disease (DED)","Azura Ophthalmics",2022-09-14,2022-10-19,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT00807651,"Autologous Hematopoietic Stem Cell Transplantation for Early Onset Type 1 Diabetes","Shanghai Jiao Tong University School of Medicine",2016-06,2016-12,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 1696d and no coverage in 1696d — the press dropped a still-unresolved story."
NCT02149329,"Short Versus Extended Antibiotic Treatment With a Carbapenem for High-risk Febrile Neutropenia in Hematology Patients With FUO","Amsterdam UMC, location VUmc",2019-08-05,2019-08-05,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 2481d and no coverage in 2481d — the press dropped a still-unresolved story."
NCT03208231,"Evaluating the Safety and Antiviral Activity of Monoclonal Antibody VRC01 in Infants With HIV Receiving Combination Antiretroviral Therapy","National Institute of Allergy and Infectious Diseases (NIAID)",2020-06-16,2021-02-11,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT04044131,"Metabolic Cofactor Supplementation in Alzheimer's Disease (AD) and Parkinson's Disease (PD) Patients","Istanbul Medipol University Hospital",2021-03-15,2021-04-20,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 1433d and no coverage in 1433d — the press dropped a still-unresolved story."
NCT04304053,"Treatment of COVID-19 Cases and Chemoprophylaxis of Contacts as Prevention","Fundación FLS de Lucha Contra el Sida, las Enfermedades Infecciosas y la Promoción de la Salud y la Ciencia",2020-06-15,2020-06-15,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 2202d and no coverage in 2202d — the press dropped a still-unresolved story."
NCT00742937,"Impact of Maternal Supplementation With Dual Megadose of Vitamin A","Instituto Materno Infantil Prof. Fernando Figueira",2008-08,2008-12,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 6191d and no coverage in 6191d — the press dropped a still-unresolved story."
NCT03470545,"Clinical Study to Evaluate Mavacamten (MYK-461) in Adults With Symptomatic Obstructive Hypertrophic Cardiomyopathy","MyoKardia, Inc.",2020-03-14,2020-05-06,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT02322372,"Femoral Blockade and Low-dose Spinal Anesthesia in Outpatient Knee Arthroscopy","Ankara University",2014-12,2014-12,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 4161d and no coverage in 4161d — the press dropped a still-unresolved story."
NCT04583995,"A Study Looking at the Effectiveness, Immune Response, and Safety of a COVID-19 Vaccine in Adults in the United Kingdom","Novavax",2022-03-29,2022-03-29,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 429d and no coverage in 429d — the press dropped a still-unresolved story."
NCT03020095,"Efficacy and Safety of Ravidasvir + Danoprevir/r 12-week Oral Therapy in Treatment-Naive Non Cirrhotic G1 CHC Taiwan","Ascletis Pharmaceuticals Co., Ltd.",2016-08,2017-02,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01601977,"Validation of the AVAPS AE Algorithm in Chronic Obstructive Pulmonary Disease (COPD) Patients","Patrick Murphy",2013-08,2013-09,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT00440895,"A Randomized Trial of Early Discharge After Trans-radial Stenting of Coronary Arteries in Acute MI and Rescue-PCI","Olivier F. Bertrand",2012-10,2013-05,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 4812d and no coverage in 4812d — the press dropped a still-unresolved story."
NCT01072695,"Efficacy and Safety Study of GS-9256 and GS-9190 Alone and in Combination With Ribavirin for 28 Days in Patients With Chronic Hepatitis C Virus Infection","Gilead Sciences",2010-10,2012-01,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 5154d and no coverage in 5154d — the press dropped a still-unresolved story."
NCT01513239,"A Study of MK-6072 and MK-3415A in Participants Receiving Antibiotic Therapy for Clostridium Difficile Infection (MK-3415A-002)","Merck Sharp & Dohme LLC",2015-05-22,2015-05-22,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT03042377,"Postoperative Pain in Single-visit and Multiple-visit Retreatment Cases","Istanbul Medipol University Hospital",2015-07-30,2015-08-30,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 3054d and no coverage in 3054d — the press dropped a still-unresolved story."
NCT04491877,"Study of an Live-Attenuated Respiratory Syncytial Virus Vaccine in Infants and Toddlers","Sanofi Pasteur, a Sanofi Company",2023-04-13,2023-04-13,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT00234975,"Safety of Lopinavir/Ritonavir (Kaletra) in HIV/HCV Co-infected Subjects vs Baseline Liver Biopsy Metavir Score","AbbVie (prior sponsor, Abbott)",2008-01,2008-01,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 4937d and no coverage in 4937d — the press dropped a still-unresolved story."
NCT01299857,"Long-term Clinical and Biological Evaluation of Patients With Severe Forms of Pemphigus Treated by Rituximab","University Hospital, Rouen",2011-06,2012-06,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 5049d and no coverage in 5049d — the press dropped a still-unresolved story."
NCT01295957,"Alzheimer's Disease Reminiscence Quality of Life","Universidad Nacional de Rosario",2010-08,2010-11,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 5625d and no coverage in 5625d — the press dropped a still-unresolved story."
NCT02040857,"Palbociclib in Combination With Adjuvant Endocrine Therapy for Hormone Receptor Positive, HER2 Negative Invasive Breast Cancer","Dana-Farber Cancer Institute",2018-05,2024-12-27,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT02362412,"Study to Evaluate the Effects of Switching Different Strength Forms of FK949E in Bipolar Disorder Patients With Major Depressive Episodes","Astellas Pharma Inc",2016-02-06,2016-02-06,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT03562481,"Clinical Trial Comparing Effectiveness of Buffered Versus Unbuffered Local Anesthetic in Children Ages 10-12 Years","University of North Carolina, Chapel Hill",2019-06-30,2019-06-30,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT02565719,"REP 2139-Mg and REP 2165-Mg Combination Therapy in Chronic Hepatitis B Infection","Replicor Inc.",2019-05,2019-05,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 2496d and no coverage in 2496d — the press dropped a still-unresolved story."
NCT02958865,"Study to Compare Oral PF-06651600, PF-06700841 and Placebo in Subjects With Moderate to Severe Ulcerative Colitis","Pfizer",2021-05-10,2021-05-10,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT04410367,"Study to Establish Image Interpretation Criteria for 18F Fluciclovine PET in Detecting Recurrent Brain Metastases (PURSUE)","Blue Earth Diagnostics",2021-12-31,2021-12-31,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT00574067,"Buprenorphine for Prisoners","Friends Research Institute, Inc.",2013-03,2013-11,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT03055767,"Effectiveness of Onabotulinumtoxin A (Botox) in Pediatric Patients Experiencing Migraines: A Study in the Pediatric Pain Population","University of California, Irvine",2018-11-30,2020-04-20,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT02504567,"Laser Ablation Study for trEatment of atRial Fibrillation (LASER)","Hospital Clinic of Barcelona",2016-11,2018-02,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 2900d and no coverage in 2900d — the press dropped a still-unresolved story."
NCT02951767,"A Study of Atezolizumab in Participants With Locally Advanced or Metastatic Urothelial Bladder Cancer (Cohort 1)","Hoffmann-La Roche",2016-07-04,2023-02-28,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT00984867,"Dapagliflozin DPPIV Inhibitor add-on Study","AstraZeneca",2011-03,2011-09,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01264367,"A Study to Evaluate the Efficacy and Safety of Clevudine and Peg-interferon in Sequence Compared With Clevudine Alone in the Patients With HBeAg(+) Chronic Hepatitis B or Clevudine and Peg-interferon Sequential Treatment in Patients With Chronic Hepatitis B Who Have HBeAg(+)","Bukwang Pharmaceutical",2013-08,2014-05,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 4223d and no coverage in 4223d — the press dropped a still-unresolved story."
NCT02602600,"Glucagon-like Peptide-1 and Coronary Microvascular Dysfunction in Women With Angina Pectoris and no Coronary Stenosis","Eva Prescott",2017-04-18,2017-04-18,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 2922d and no coverage in 2922d — the press dropped a still-unresolved story."
NCT03775200,"The Safety and Efficacy of Psilocybin in Participants With Treatment Resistant Depression","COMPASS Pathways",2021-07-30,2021-09-27,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01779700,"Fingolimod in Schizophrenia Patients","Indiana University",2016-08,2016-08,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT00412607,"Catheter Evaluation for Endocardial Ablation in Patients With Ventricular Tachycardia","Biosense Webster, Inc.",2012-06,2012-06,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01391507,"Pilot Study of COR-1 in Heart Failure","Corimmun GmbH",2013-08,2013-08,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01091207,"Sorafenib for Imatinib/Sunitinib-failed GIST","Samsung Medical Center",2010-12,2011-08,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 5286d and no coverage in 5286d — the press dropped a still-unresolved story."
NCT03789292,"A Study to Compare Efficacy and Safety of CT-P17 With Humira in Patients With Active Rheumatoid Arthritis","Celltrion",2019-10-08,2020-04-24,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01109992,"Integrated Dual Exercise and Lexiscan Positron Emission Tomography: IDEALPET","Brigham and Women's Hospital",2017-06-06,2017-06-06,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT04853836,"Olfactory Disfunction and Co-ultraPEALut","University Of Perugia",2021-10-28,2022-08-31,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 1333d and no coverage in 1333d — the press dropped a still-unresolved story."
NCT03323736,"In-Office Tympanostomy Tube Placement in Children (OTTER)","Tusker Medical",2019-02-28,2021-03-25,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT00407836,"Efficacy Study of T Cell Vaccination in HIV Infection","Soroka University Medical Center",2008-11,2008-11,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 6065d and no coverage in 6065d — the press dropped a still-unresolved story."
NCT04450394,"A Phase 2 Study of LY3209590 in Participants With Type 2 Diabetes Mellitus","Eli Lilly and Company",2021-10-08,2021-10-08,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01998594,"Use of FlexHD as Post Trapeziectomy Spacer","Cedars-Sinai Medical Center",2016-12,2017-12,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 2742d and no coverage in 2742d — the press dropped a still-unresolved story."
NCT00264394,"Cardiovascular Risk Factor Management in HIV Infection","University Hospital, Basel, Switzerland",2008-10,2010-02,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 4062d and no coverage in 4062d — the press dropped a still-unresolved story."
NCT02906566,"Retinol on Human Skin Aging in East Asian Descent","Stanford University",2018-03-09,2018-03-09,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT00559494,"Minocycline and Perfusion Pressure Augmentation in Acute Spinal Cord Injury","University of Calgary",2010-08,2010-08,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 4863d and no coverage in 4863d — the press dropped a still-unresolved story."
NCT03190694,"Effects of Dapagliflozin in Non-diabetic Patients With Proteinuria","Hiddo Lambers Heerspink",2019-11-01,2019-12-01,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT03798366,"A Clinical Study to Test How Effective and Safe GLPG1690 is for Participants With Systemic Sclerosis","Lakefront Biotherapeutics NV",2020-05-21,2020-06-22,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT00609466,"A Trial to Evaluate CG5503 Efficacy and Safety in Acute Pain After Bunionectomy","Grünenthal GmbH",2008-02,2008-02,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT00966056,"Study of Mitomycin C and Nasal Splint to Treat Nasal Synechiae","Karnataka Institute of Medical Sciences",2009-02,2009-09,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 5482d and no coverage in 5482d — the press dropped a still-unresolved story."
NCT01729156,"Effects of Metformin on Hepatic FFA Metabolism","Lars Christian Gormsen",2017-05-05,2017-05-05,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT00832156,"Application of Cultured Autologous Keratinocytes for Burn Wound Healing","Association of Dutch Burn Centres",2012-09,2013-09,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 2336d and no coverage in 2336d — the press dropped a still-unresolved story."
NCT03450629,"Evaluation of Safety and Efficacy of PDP-716","Sun Pharma Advanced Research Company Limited",2020-12-01,2020-12-01,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT02207829,"A 12-week Study to Evaluate the Efficacy and Safety of Umeclidinium Compared With Tiotropium in Subjects With Chronic Obstructive Pulmonary Disease","GlaxoSmithKline",2015-05-25,2015-06-15,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT04532931,"Four Different Experimental Drug Regimens to Standard of Care for the Treatment of Symptomatic Outpatients With COVID-19","Shin Poong Pharmaceutical Co. Ltd.",2021-08-05,2021-08-23,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01808131,"Lesinurad and Allopurinol Combination Extension Study in Gout","Ardea Biosciences, Inc.",2016-08,2016-11,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 3455d and no coverage in 3455d — the press dropped a still-unresolved story."
NCT00746902,"Study of the Relationships Between Refractory Hypertension, Overweight/Obesity and Sleep Apnea Syndrome","University Hospital, Grenoble",2013-12,2014-09,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 4264d and no coverage in 4264d — the press dropped a still-unresolved story."
NCT00311402,"JASAP: Japanese Aggrenox Stroke Prevention vs. Aspirin Programme","Boehringer Ingelheim",2009-03,,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01612702,"Efficacy and Safety of Single, Low-dose Dexamethasone in Patients After Total Knee Arthroplasty","Tae Kyun Kim",2011-12,2012-01,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT02891837,"L-citrulline for Prevention of Sequelae of Acute Lung Injury in Pediatrics Undergoing Cardiopulmonary Bypass for Heart Defects","Asklepion Pharmaceuticals, LLC",2019-06,2019-07,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT04532372,"Leflunomide for the Treatment of Severe COVID-19 in Patients With a Concurrent Malignancy","City of Hope Medical Center",2021-08-26,2021-10-27,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01626872,"Long-Term Study of MP-214 in Patients With Schizophrenia","Tanabe Pharma Corporation",2016-10,2016-10,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT02288572,"Probiotic Bacteria in Prevention of the Metabolic Syndrome","University Maribor",2014-03,2014-05,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 4260d and no coverage in 4260d — the press dropped a still-unresolved story."
NCT02945553,"Prevention of Skeletal Muscle Adaptations to Traumatic Knee Injury and Surgery","University of Vermont",2019-09,2019-09,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT02841137,"Efficacy Study of Progesterone Tablet in Post-menopausal Women","IBSA Institut Biochimique SA",2017-08-02,2018-04-25,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 2952d and no coverage in 2952d — the press dropped a still-unresolved story."
NCT01943045,"Phase 2 Study of NGM282 in Patients With Type 2 Diabetes","NGM Biopharmaceuticals, Inc",2014-09,2014-09,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 3889d and no coverage in 3889d — the press dropped a still-unresolved story."
NCT00462072,"Centocor Microarray Study of Patients","University of Rochester",2010-06,2010-08,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT06169995,"A Study of Remimazolam Tosilate for Sedation in the Upper Gastrointestinal Endoscopy","Jiangsu HengRui Medicine Co., Ltd.",2023-12-15,2023-12-16,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 925d and no coverage in 925d — the press dropped a still-unresolved story."
NCT01262677,"Once-A-Day Pregabalin For Partial Seizures","Pfizer's Upjohn has merged with Mylan to form Viatris Inc.",2012-07-31,2012-08-01,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT03304457,"Lurasidone Vs Olanzapine on Neurotrophic Biomarkers and Cardiometabolic Parameters in Unmedicated Schizophrenia","All India Institute of Medical Sciences, Bhubaneswar",2018-03-12,2018-03-25,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 2293d and no coverage in 2293d — the press dropped a still-unresolved story."
NCT01749501,"Premedication for Non-Emergency Endotracheal Intubation In the NICU","Martin Espinosa, MD",2013-12,2014-01,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT05366101,"Lifestyle and Pharmacological Interventions in Hypertrophic Cardiomyopathy","Newcastle-upon-Tyne Hospitals NHS Trust",2022-02-28,2022-03-31,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 1524d and no coverage in 1524d — the press dropped a still-unresolved story."
NCT02256501,"Intracoronary Transplantation of Bone Marrow Derived Mononuclear Cells in Pediatric Cardiomyopathy","Nasser Aghdami MD., PhD",2016-03,2016-12,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 3362d and no coverage in 3362d — the press dropped a still-unresolved story."
NCT01390012,"Oral Versus Intravenous Dexamethasone","St. Antonius Hospital",2012-10,2012-10,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 4560d and no coverage in 4560d — the press dropped a still-unresolved story."
NCT00862381,"Hydrocortisone Use After Etomidate in Intensive Care","University Hospital, Grenoble",2010-07,2010-07,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 5829d and no coverage in 5829d — the press dropped a still-unresolved story."
NCT02933281,"MTBVAC Study in Adults With and Without Latent Tuberculosis Infection in South Africa","International AIDS Vaccine Initiative",2021-09-05,2021-09-05,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 1230d and no coverage in 1230d — the press dropped a still-unresolved story."
NCT02866981,"Observation for Patients With Asymptomatic CNS Metastatic Disease","The Cooper Health System",2017-12-01,2017-12-01,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 2985d and no coverage in 2985d — the press dropped a still-unresolved story."
